[2025-12-11 21:09:38,323][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_8/custom_checkpoint_0.pkl
[2025-12-11 21:09:38,340][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-11 21:09:38,893][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-11 21:09:38,939][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-11 21:09:38,941][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-11 21:09:38,941][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-11 21:09:38,942][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-11 21:09:38,943][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-11 21:09:38,945][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-11 21:09:38,946][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-11 21:09:38,947][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 8 ended
[2025-12-11 23:07:32,260][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_9
[2025-12-11 23:07:32,788][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_9/model.safetensors
[2025-12-11 23:07:32,837][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_9/optimizer.bin
[2025-12-11 23:07:32,840][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_9/scheduler.bin
[2025-12-11 23:07:32,840][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_9/sampler.bin
[2025-12-11 23:07:32,840][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_9/sampler_1.bin
[2025-12-11 23:07:32,842][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_9/scaler.pt
[2025-12-11 23:07:32,845][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_9/random_states_0.pkl
[2025-12-11 23:07:32,845][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_9/custom_checkpoint_0.pkl
[2025-12-11 23:07:32,860][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-11 23:07:33,399][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-11 23:07:33,453][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-11 23:07:33,455][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-11 23:07:33,455][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-11 23:07:33,455][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-11 23:07:33,456][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-11 23:07:33,458][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-11 23:07:33,458][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-11 23:07:33,460][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 9 ended
[2025-12-12 01:05:28,144][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_10
[2025-12-12 01:05:28,674][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_10/model.safetensors
[2025-12-12 01:05:28,722][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_10/optimizer.bin
[2025-12-12 01:05:28,725][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_10/scheduler.bin
[2025-12-12 01:05:28,725][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_10/sampler.bin
[2025-12-12 01:05:28,726][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_10/sampler_1.bin
[2025-12-12 01:05:28,727][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_10/scaler.pt
[2025-12-12 01:05:28,730][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_10/random_states_0.pkl
[2025-12-12 01:05:28,730][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_10/custom_checkpoint_0.pkl
[2025-12-12 01:05:28,744][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-12 01:05:29,276][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-12 01:05:29,321][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-12 01:05:29,323][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-12 01:05:29,323][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-12 01:05:29,323][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-12 01:05:29,324][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-12 01:05:29,326][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-12 01:05:29,326][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-12 01:05:29,327][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 10 ended
